,id,,pg_category,,pg_desc,,createdat,,
",(",63,",'",Include,"','",유안타증권,"',",20220708,),",(63,'Include','유안타증권',20220708)"
",(",64,",'",Include,"','",유진투자증권,"',",20220708,),",(64,'Include','유진투자증권',20220708)"
",(",65,",'",Include,"','",코나아이,"',",20220708,),",(65,'Include','코나아이',20220708)"
",(",66,",'",Include,"','",사이렉스페이,"',",20220708,),",(66,'Include','사이렉스페이',20220708)"
",(",67,",'",Include,"','",원스토어,"',",20220708,),",(67,'Include','원스토어',20220708)"
",(",68,",'",Include,"','",원넷,"',",20220708,),",(68,'Include','원넷',20220708)"
",(",69,",'",Include,"','",SK증권,"',",20220708,),",(69,'Include','SK증권',20220708)"
",(",70,",'",Include,"','",우아한형제들,"',",20220708,),",(70,'Include','우아한형제들',20220708)"
",(",71,",'",Include,"','",유디아이디,"',",20220708,),",(71,'Include','유디아이디',20220708)"
",(",72,",'",Include,"','",다우데이타,"',",20220708,),",(72,'Include','다우데이타',20220708)"
",(",73,",'",Include,"','",없음,"',",20220708,),",(73,'Include','없음',20220708)"
",(",74,",'",Include,"','",나이스페이먼츠,"',",20220708,),",(74,'Include','나이스페이먼츠',20220708)"
",(",75,",'",Include,"','",13마일,"',",20220708,),",(75,'Include','13마일',20220708)"
",(",76,",'",Include,"','",티몬,"',",20220708,),",(76,'Include','티몬',20220708)"
",(",77,",'",Include,"','",아이씨비,"',",20220708,),",(77,'Include','아이씨비',20220708)"
",(",78,",'",Include,"','",쿠팡,"',",20220708,),",(78,'Include','쿠팡',20220708)"
",(",79,",'",Include,"','",블루월넛,"',",20220708,),",(79,'Include','블루월넛',20220708)"
",(",80,",'",Include,"','",한국신용카드결제,"',",20220708,),",(80,'Include','한국신용카드결제',20220708)"
",(",81,",'",Include,"','",윈글로벌페이,"',",20220708,),",(81,'Include','윈글로벌페이',20220708)"
",(",82,",'",Include,"','",주핑거,"',",20220708,),",(82,'Include','주핑거',20220708)"
",(",83,",'",Include,"','",엔에이치엔페이,"',",20220708,),",(83,'Include','엔에이치엔페이',20220708)"
",(",84,",'",Include,"','",카카오페이,"',",20220708,),",(84,'Include','카카오페이',20220708)"
",(",85,",'",Include,"','",지오엠아이앤,"',",20220708,),",(85,'Include','지오엠아이앤',20220708)"
",(",86,",'",Include,"','",핀크,"',",20220708,),",(86,'Include','핀크',20220708)"
",(",87,",'",Include,"','",더페이원,"',",20220708,),",(87,'Include','더페이원',20220708)"
",(",88,",'",Include,"','",웰컴,"',",20220708,),",(88,'Include','웰컴',20220708)"
",(",89,",'",Include,"','",웰컴페이먼츠,"',",20220708,),",(89,'Include','웰컴페이먼츠',20220708)"
",(",90,",'",Include,"','",인피니소프트,"',",20220708,),",(90,'Include','인피니소프트',20220708)"
",(",91,",'",Include,"','",원페이,"',",20220708,),",(91,'Include','원페이',20220708)"
",(",92,",'",Include,"','",오렌지스퀘어,"',",20220708,),",(92,'Include','오렌지스퀘어',20220708)"
",(",93,",'",Include,"','",케이원피에스,"',",20220708,),",(93,'Include','케이원피에스',20220708)"
",(",94,",'",Include,"','",온오프코리아,"',",20220708,),",(94,'Include','온오프코리아',20220708)"
",(",95,",'",Include,"','",티엔디엔,"',",20220708,),",(95,'Include','티엔디엔',20220708)"
",(",96,",'",Include,"','",아고다페이먼트,"',",20220708,),",(96,'Include','아고다페이먼트',20220708)"
",(",97,",'",Include,"','",케이아이에스,"',",20220708,),",(97,'Include','케이아이에스',20220708)"
